Fruit number,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,led current,saturation check,time
12C,3,64,150,3478.51,2435.988,5821.953,6290.508,9483.702,5463.712,White LED,12.5 mA,b'OK Read',09:54:51
12C,3,64,150,6681.01,4705.516,11357.639,12238.59,18042.318,9810.229,White LED,25 mA,b'OK Read',09:54:52
12C,3,64,150,12477.222,8791.886,21342.987,22947.355,33373.883,17570.993,White LED,50 mA,b'OK Read',09:54:53
12C,3,64,150,16155.4,11321.253,27699.902,29775.283,43110.882,22505.908,White LED,100 mA,b'OK Read',09:54:54
12C,3,64,200,3479.489,2434.465,5815.691,6286.149,9480.949,5459.509,White LED,12.5 mA,b'OK Read',09:54:56
12C,3,64,200,6685.905,4707.546,11350.93,12232.249,18028.552,9801.441,White LED,25 mA,b'OK Read',09:54:57
12C,3,64,200,12460.094,8783.258,21298.257,22899.795,33284.207,17520.176,White LED,50 mA,b'OK Read',09:54:58
12C,3,64,200,16156.868,11324.298,27680.22,29740.01,43014.126,22432.932,White LED,100 mA,b'OK Read',09:54:59
12C,3,64,250,3474.204,2434.77,5818.374,6285.435,9467.969,5449.652,White LED,12.5 mA,b'OK Read',09:55:01
12C,3,64,250,6677.096,4708.764,11351.198,12223.688,17988.197,9773.244,White LED,25 mA,b'OK Read',09:55:03
12C,3,64,250,12479.18,8782.954,21269.273,22870.309,33210.578,17479.6,White LED,50 mA,b'OK Read',09:55:05
12C,3,64,250,16133.084,11339.522,27660.896,29719.797,42924.922,22388.229,White LED,100 mA,b'OK Read',09:55:06
